CHROM	BIN_START	N_SNPS	TajimaD
chr01	1090000	238	0.442404
chr01	1100000	238	0.181238
chr01	1110000	275	-0.0134208
chr01	1120000	281	0.00960844
chr01	1130000	225	-0.0152125
chr01	1140000	265	0.530252
chr01	1150000	281	0.538218
chr01	1160000	352	0.627987
chr01	1170000	399	0.71009
chr01	1180000	444	0.746152
chr01	1190000	499	1.08364
chr01	1200000	519	1.19487
chr01	1210000	490	1.45496
chr01	1220000	468	1.51403
chr01	1230000	459	1.46565
chr01	1240000	450	1.10428
chr01	1250000	517	1.24872
chr01	1260000	560	1.27378
chr01	1270000	633	1.30791
chr01	1280000	655	1.34636
chr01	1290000	585	1.07538
chr01	1300000	556	0.90844
chr01	1310000	597	0.689385
chr01	1320000	666	0.515876
chr01	1330000	707	0.484158
chr01	1340000	685	0.532907
chr01	1350000	638	0.332724
chr01	1360000	596	0.0383062
chr01	1370000	536	-0.398789
chr01	1380000	494	-0.694518
chr01	1390000	479	-0.642113
chr01	1400000	478	-0.497733
chr01	1410000	406	-0.507751
chr01	1420000	392	-0.287388
chr01	1430000	352	-0.301898
chr01	1440000	318	-0.322395
chr01	1450000	275	-0.423205
chr01	1460000	207	-0.35051
chr01	1470000	148	-0.0530476
chr01	1480000	124	0.120391
chr01	1490000	127	0.185261
chr01	1500000	100	0.0818717
chr01	1510000	111	-0.00448541
chr01	1520000	69	-0.561243
chr01	1530000	89	-0.480575
chr01	1540000	93	-0.278716
chr01	1550000	93	-0.278716
chr01	1560000	89	-0.199425
chr01	1570000	101	0.0880282
chr01	1580000	97	0.114224
chr01	1590000	86	0.166529
chr01	1600000	77	0.375901
chr01	1610000	53	0.610422
chr01	1620000	40	1.12748
chr01	1630000	19	2.14829
chr01	1640000	13	2.02144
chr01	1650000	13	2.02144
chr01	1660000	13	2.02144
chr01	1670000	0	nan
chr01	1680000	0	nan
chr01	1690000	9	-0.904808
chr01	1700000	9	-0.904808
chr01	1710000	14	-0.528897
chr01	1720000	17	-0.674262
chr01	1730000	17	-0.674262
chr01	1740000	18	-0.423606
chr01	1750000	24	-0.449023
chr01	1760000	24	-0.449023
chr01	1770000	24	-0.449023
chr01	1780000	24	-0.449023
chr01	1790000	15	-0.0773786
chr01	1800000	15	-0.0773786
chr01	1810000	16	-0.797422
chr01	1820000	13	-0.666491
chr01	1830000	25	-0.437937
chr01	1840000	80	-0.723658
chr01	1850000	150	-0.475142
chr01	1860000	172	-0.204749
chr01	1870000	206	-0.244767
chr01	1880000	231	-0.318399
chr01	1890000	304	-0.539934
chr01	1900000	364	-0.482001
chr01	1910000	450	-0.3811
chr01	1920000	529	-0.33215
chr01	1930000	627	-0.158017
chr01	1940000	680	-0.0459604
chr01	1950000	641	-0.0460926
chr01	1960000	641	-0.121279
chr01	1970000	638	-0.108461
chr01	1980000	654	-0.0687528
chr01	1990000	645	0.0544099
chr01	2000000	634	0.114083
chr01	2010000	589	0.156399
chr01	2020000	565	0.272476
chr01	2030000	465	0.191996
chr01	2040000	358	0.186582
chr01	2050000	331	0.205021
chr01	2060000	359	0.442291
chr01	2070000	402	0.685886
chr01	2080000	415	0.78656
chr01	2090000	383	0.8772
chr01	2100000	345	0.961741
chr01	2110000	307	1.02178
chr01	2120000	252	1.01402
chr01	2130000	252	1.00588
chr01	2140000	256	1.03188
chr01	2150000	283	1.07803
chr01	2160000	256	0.955032
chr01	2170000	198	0.685784
chr01	2180000	170	0.596401
chr01	2190000	177	0.945946
chr01	2200000	188	0.910157
chr01	2210000	180	1.00207
chr01	2220000	263	0.706823
chr01	2230000	324	0.463217
chr01	2240000	362	0.577233
chr01	2250000	357	0.458174
chr01	2260000	342	0.492922
chr01	2270000	347	0.520586
chr01	2280000	347	0.427891
chr01	2290000	405	0.145241
chr01	2300000	406	0.0704293
chr01	2310000	442	0.0254713
chr01	2320000	378	0.0543721
chr01	2330000	307	0.157298
chr01	2340000	266	-0.0515821
chr01	2350000	265	-0.0146499
chr01	2360000	257	-0.108687
chr01	2370000	265	-0.0136294
chr01	2380000	271	0.490101
chr01	2390000	199	0.961592
chr01	2400000	178	1.06487
chr01	2410000	163	0.97664
chr01	2420000	179	0.720118
chr01	2430000	212	1.00192
chr01	2440000	216	0.960977
chr01	2450000	203	1.05138
chr01	2460000	210	0.999837
chr01	2470000	216	0.921783
chr01	2480000	196	0.359952
chr01	2490000	205	0.292448
chr01	2500000	226	0.33761
chr01	2510000	229	0.710259
chr01	2520000	240	0.900347
chr01	2530000	278	0.569013
chr01	2540000	314	0.453811
chr01	2550000	363	0.417949
chr01	2560000	396	0.298499
chr01	2570000	402	0.207112
chr01	2580000	431	0.12324
chr01	2590000	415	0.0444138
chr01	2600000	434	0.143033
chr01	2610000	490	0.536236
chr01	2620000	551	0.981475
chr01	2630000	532	1.15895
chr01	2640000	592	1.24699
chr01	2650000	585	1.35072
chr01	2660000	628	1.41655
chr01	2670000	645	1.49765
chr01	2680000	694	1.42811
chr01	2690000	695	1.43286
chr01	2700000	695	1.35725
chr01	2710000	742	0.878878
chr01	2720000	696	0.476417
chr01	2730000	679	0.285122
chr01	2740000	576	0.144984
chr01	2750000	534	0.0479724
chr01	2760000	526	0.00971056
chr01	2770000	527	-0.267847
chr01	2780000	473	-0.414728
chr01	2790000	559	-0.744695
chr01	2800000	608	-0.990169
chr01	2810000	518	-1.18724
chr01	2820000	481	-1.35951
chr01	2830000	458	-1.32095
chr01	2840000	472	-1.30581
chr01	2850000	583	-1.27775
chr01	2860000	589	-1.25963
chr01	2870000	555	-1.22134
chr01	2880000	532	-1.17591
chr01	2890000	501	-0.553179
chr01	2900000	455	-0.234329
chr01	2910000	467	-0.161235
chr01	2920000	494	-0.25037
chr01	2930000	573	-0.466333
chr01	2940000	650	-0.527377
chr01	2950000	580	-0.33852
chr01	2960000	543	-0.461732
chr01	2970000	614	-0.449396
chr01	2980000	647	-0.499354
chr01	2990000	616	-0.768865
chr01	3000000	637	-0.76523
chr01	3010000	716	-0.805873
chr01	3020000	818	-0.860484
chr01	3030000	913	-0.847324
chr01	3040000	843	-0.860778
chr01	3050000	920	-0.953235
chr01	3060000	960	-0.878286
chr01	3070000	944	-0.801098
chr01	3080000	957	-0.787633
chr01	3090000	985	-0.838818
chr01	3100000	979	-0.895371
chr01	3110000	875	-0.848949
chr01	3120000	764	-0.70235
chr01	3130000	680	-0.386501
chr01	3140000	753	-0.203982
chr01	3150000	750	-0.202455
chr01	3160000	724	-0.298615
chr01	3170000	721	-0.392147
chr01	3180000	747	-0.297256
chr01	3190000	742	0.0199986
chr01	3200000	765	0.459102
chr01	3210000	812	0.603698
chr01	3220000	792	0.682363
chr01	3230000	743	0.692889
chr01	3240000	687	0.729156
chr01	3250000	568	1.08672
chr01	3260000	529	1.24549
chr01	3270000	471	1.42912
chr01	3280000	424	1.72547
chr01	3290000	374	1.65384
chr01	3300000	310	1.16712
chr01	3310000	313	0.663059
chr01	3320000	319	0.660246
chr01	3330000	313	0.37423
chr01	3340000	326	0.064947
chr01	3350000	383	0.0391106
chr01	3360000	442	-0.0483224
chr01	3370000	507	-0.104503
chr01	3380000	536	-0.282224
chr01	3390000	585	-0.316555
chr01	3400000	685	-0.173125
chr01	3410000	699	-0.0455685
chr01	3420000	726	-0.00178949
chr01	3430000	779	0.263501
chr01	3440000	805	0.430067
chr01	3450000	761	0.49471
chr01	3460000	729	0.621384
chr01	3470000	645	0.757872
chr01	3480000	615	0.972801
chr01	3490000	691	1.15232
chr01	3500000	594	1.2562
chr01	3510000	557	1.39607
chr01	3520000	550	1.33641
chr01	3530000	569	1.10316
chr01	3540000	525	1.0672
chr01	3550000	551	1.0485
chr01	3560000	522	1.08803
chr01	3570000	576	1.0126
chr01	3580000	569	0.82614
chr01	3590000	472	0.70879
chr01	3600000	547	0.826985
chr01	3610000	539	0.687915
chr01	3620000	533	0.713257
chr01	3630000	444	0.79557
chr01	3640000	473	0.836491
chr01	3650000	457	0.83408
chr01	3660000	454	0.723467
chr01	3670000	430	0.675646
chr01	3680000	413	0.808124
chr01	3690000	386	0.757082
chr01	3700000	313	0.481271
chr01	3710000	284	0.492088
chr01	3720000	263	0.457592
chr01	3730000	265	0.315854
chr01	3740000	216	0.00330719
chr01	3750000	207	-0.284413
chr01	3760000	208	-0.247691
chr01	3770000	193	-0.0276753
chr01	3780000	228	0.319335
chr01	3790000	235	0.120729
chr01	3800000	241	-0.0837668
chr01	3810000	235	-0.245299
chr01	3820000	223	-0.220964
chr01	3830000	198	-0.0210749
chr01	3840000	187	-0.00162093
chr01	3850000	301	-0.307288
chr01	3860000	286	-0.275952
chr01	3870000	297	-0.307062
chr01	3880000	280	-0.636541
chr01	3890000	317	-0.700397
chr01	3900000	307	-0.517267
chr01	3910000	350	-0.402949
chr01	3920000	407	-0.524088
chr01	3930000	507	-0.679123
chr01	3940000	556	-0.729419
chr01	3950000	472	-0.455348
chr01	3960000	537	-0.422765
chr01	3970000	612	-0.639756
chr01	3980000	607	-0.673779
chr01	3990000	658	-0.539008
chr01	4000000	728	-0.582165
chr01	4010000	735	-0.682007
chr01	4020000	778	-0.819602
chr01	4030000	735	-0.721497
chr01	4040000	717	-0.642619
chr01	4050000	665	-0.761651
chr01	4060000	602	-0.812006
chr01	4070000	503	-0.65225
chr01	4080000	481	-0.618373
chr01	4090000	415	-0.699703
chr01	4100000	328	-0.716356
chr01	4110000	269	-0.602323
chr01	4120000	160	0.12014
chr01	4130000	112	0.319841
chr01	4140000	87	0.307803
chr01	4150000	83	0.283502
chr01	4160000	84	0.304358
chr01	4170000	124	0.920044
chr01	4180000	194	0.69337
chr01	4190000	188	0.932578
chr01	4200000	234	1.10378
chr01	4210000	296	0.764362
chr01	4220000	351	0.735338
chr01	4230000	427	0.661527
chr01	4240000	506	0.505496
chr01	4250000	614	0.416375
chr01	4260000	743	0.439978
chr01	4270000	806	0.202544
chr01	4280000	825	0.0985889
chr01	4290000	906	-0.035133
chr01	4300000	912	-0.180714
chr01	4310000	857	-0.153113
chr01	4320000	833	-0.144828
chr01	4330000	800	-0.211949
chr01	4340000	884	-0.248606
chr01	4350000	993	-0.243147
chr01	4360000	1064	-0.146828
chr01	4370000	1165	0.0474341
chr01	4380000	1127	0.145427
chr01	4390000	1076	0.205405
chr01	4400000	1023	0.266237
chr01	4410000	1020	0.262751
chr01	4420000	1074	0.159058
chr01	4430000	1119	0.117294
chr01	4440000	967	0.207065
chr01	4450000	790	0.199717
chr01	4460000	691	0.130082
chr01	4470000	536	0.0573391
chr01	4480000	666	0.156559
chr01	4490000	666	0.28302
chr01	4500000	748	0.366667
chr01	4510000	851	0.509702
chr01	4520000	851	0.766086
chr01	4530000	889	1.14295
chr01	4540000	1016	1.14701
chr01	4550000	1073	1.3485
chr01	4560000	1067	1.42359
chr01	4570000	1093	1.29561
chr01	4580000	958	1.32903
chr01	4590000	945	1.31734
chr01	4600000	944	1.33741
chr01	4610000	916	1.26657
chr01	4620000	967	1.17867
chr01	4630000	970	1.02392
chr01	4640000	923	1.20368
chr01	4650000	911	1.3222
chr01	4660000	901	1.1259
chr01	4670000	880	1.161
chr01	4680000	951	1.0059
chr01	4690000	999	1.10318
chr01	4700000	1000	1.22123
chr01	4710000	1036	1.27843
chr01	4720000	1005	1.39853
chr01	4730000	965	1.10105
chr01	4740000	956	0.836915
chr01	4750000	923	0.466101
chr01	4760000	868	0.480428
chr01	4770000	890	0.569904
chr01	4780000	782	0.754829
chr01	4790000	695	0.612836
chr01	4800000	616	0.367574
chr01	4810000	544	0.129587
chr01	4820000	466	-0.350266
chr01	4830000	370	-0.0353721
chr01	4840000	298	-0.119437
chr01	4850000	315	-0.479859
chr01	4860000	304	-0.540001
chr01	4870000	227	-1.05585
chr01	4880000	240	-0.942563
chr01	4890000	229	-0.944603
chr01	4900000	224	-1.05428
chr01	4910000	216	-0.816069
chr01	4920000	272	-0.384593
chr01	4930000	307	-0.123197
chr01	4940000	317	0.107326
chr01	4950000	329	0.922493
chr01	4960000	342	1.10929
chr01	4970000	379	1.06573
chr01	4980000	376	0.969141
chr01	4990000	402	0.854999
chr01	5000000	434	0.830031
chr01	5010000	420	0.654631
chr01	5020000	389	0.572752
chr01	5030000	411	0.647179
chr01	5040000	428	0.588604
chr01	5050000	436	0.603129
chr01	5060000	451	0.575859
chr01	5070000	462	0.411272
chr01	5080000	531	0.218093
chr01	5090000	552	0.0366669
chr01	5100000	560	-0.033056
chr01	5110000	602	0.00174648
chr01	5120000	641	0.278877
chr01	5130000	688	0.263131
chr01	5140000	806	0.340284
chr01	5150000	803	0.312977
chr01	5160000	803	0.389919
chr01	5170000	821	0.402768
chr01	5180000	777	0.58811
chr01	5190000	731	0.790819
chr01	5200000	744	0.744788
chr01	5210000	781	0.669221
chr01	5220000	786	0.425884
chr01	5230000	692	0.324907
chr01	5240000	570	0.203144
chr01	5250000	542	0.073622
chr01	5260000	561	-0.120886
chr01	5270000	549	0.0122098
chr01	5280000	551	0.0889562
chr01	5290000	587	0.097772
chr01	5300000	589	0.389083
chr01	5310000	570	0.702558
chr01	5320000	512	0.837917
chr01	5330000	513	0.816219
chr01	5340000	505	0.816382
chr01	5350000	512	0.810503
chr01	5360000	521	0.828356
chr01	5370000	539	0.636854
chr01	5380000	570	0.469095
chr01	5390000	590	0.393275
chr01	5400000	607	0.105445
chr01	5410000	682	-0.161679
chr01	5420000	645	-0.218462
chr01	5430000	626	-0.197131
chr01	5440000	610	-0.197437
chr01	5450000	555	-0.241465
chr01	5460000	487	-0.285002
chr01	5470000	467	0.0620484
chr01	5480000	387	0.0870454
chr01	5490000	367	0.313927
chr01	5500000	308	0.559997
chr01	5510000	227	1.29035
chr01	5520000	267	0.997667
chr01	5530000	354	0.600705
chr01	5540000	434	0.373456
chr01	5550000	478	0.145389
chr01	5560000	514	0.068639
chr01	5570000	548	-0.135114
chr01	5580000	616	-0.0912222
chr01	5590000	639	-0.103336
chr01	5600000	675	0.0222239
chr01	5610000	620	-0.117553
chr01	5620000	642	-0.0713832
chr01	5630000	567	0.0319852
chr01	5640000	506	0.047339
chr01	5650000	606	0.308285
chr01	5660000	643	0.490151
chr01	5670000	729	0.564955
chr01	5680000	767	0.533316
chr01	5690000	822	0.466592
chr01	5700000	879	0.28182
chr01	5710000	966	0.262214
chr01	5720000	963	0.30994
chr01	5730000	1003	0.328615
chr01	5740000	1022	0.440752
chr01	5750000	928	0.559115
chr01	5760000	923	0.563489
chr01	5770000	833	0.425478
chr01	5780000	841	0.271853
chr01	5790000	801	0.135203
chr01	5800000	803	0.13467
chr01	5810000	776	0.0643033
chr01	5820000	861	-0.104625
chr01	5830000	883	-0.0919353
chr01	5840000	901	-0.0944132
chr01	5850000	923	-0.240022
chr01	5860000	958	-0.181152
chr01	5870000	968	0.0354979
chr01	5880000	941	0.301019
chr01	5890000	888	0.425986
chr01	5900000	793	0.531459
chr01	5910000	782	0.525044
chr01	5920000	700	0.669265
chr01	5930000	710	0.775007
chr01	5940000	749	0.714331
chr01	5950000	737	0.866462
chr01	5960000	672	0.772341
chr01	5970000	630	0.600558
chr01	5980000	574	0.396121
chr01	5990000	576	0.354089
chr01	6000000	658	0.34188
chr01	6010000	655	0.419715
chr01	6020000	608	0.557504
chr01	6030000	553	0.455231
chr01	6040000	485	0.490606
chr01	6050000	538	0.644881
chr01	6060000	563	0.792115
chr01	6070000	577	1.07412
chr01	6080000	577	1.08698
chr01	6090000	557	1.12386
chr01	6100000	469	1.27611
chr01	6110000	481	1.65198
chr01	6120000	537	1.74683
chr01	6130000	571	1.69839
chr01	6140000	606	1.68031
chr01	6150000	543	1.5647
chr01	6160000	510	1.40036
chr01	6170000	506	0.9962
chr01	6180000	515	0.897725
chr01	6190000	504	0.935955
chr01	6200000	498	0.946256
chr01	6210000	462	0.683778
chr01	6220000	391	0.371801
chr01	6230000	327	0.218495
chr01	6240000	312	-0.0992334
chr01	6250000	375	-0.47741
chr01	6260000	358	-0.435397
chr01	6270000	310	-0.479547
chr01	6280000	424	-0.355397
chr01	6290000	424	-0.355397
chr01	6300000	423	-0.349468
chr01	6310000	384	-0.414948
chr01	6320000	383	-0.409909
chr01	6330000	383	-0.409909
chr01	6340000	319	-0.47741
chr01	6350000	194	-0.259673
chr01	6360000	227	-0.365661
chr01	6370000	214	-0.336706
chr01	6380000	60	-0.333255
chr01	6390000	60	-0.333255
chr01	6400000	187	0.889132
chr01	6410000	317	0.721673
chr01	6420000	386	0.627555
chr01	6430000	408	0.61927
chr01	6440000	456	0.557932
chr01	6450000	532	0.440059
chr01	6460000	586	0.41689
chr01	6470000	679	0.340007
chr01	6480000	762	0.203703
chr01	6490000	841	0.11556
chr01	6500000	822	-0.22055
chr01	6510000	761	-0.326766
chr01	6520000	712	-0.365572
chr01	6530000	719	-0.330623
chr01	6540000	736	-0.280601
chr01	6550000	759	-0.154457
chr01	6560000	760	-0.0451942
chr01	6570000	892	-0.201857
chr01	6580000	1108	-0.223109
chr01	6590000	1247	-0.33009
chr01	6600000	1301	-0.350574
chr01	6610000	1258	-0.367213
chr01	6620000	1247	-0.378065
chr01	6630000	1237	-0.390503
chr01	6640000	1183	-0.423012
chr01	6650000	1086	-0.526812
chr01	6660000	979	-0.640094
chr01	6670000	754	-0.61907
chr01	6680000	467	-0.674594
chr01	6690000	255	-0.368989
chr01	6700000	112	0.334221
chr01	6710000	112	0.273002
chr01	6720000	174	0.105571
chr01	6730000	171	0.0630023
chr01	6740000	256	0.346226
chr01	6750000	286	0.355899
chr01	6760000	330	0.605772
chr01	6770000	445	0.925149
chr01	6780000	530	0.982668
chr01	6790000	594	0.893591
chr01	6800000	626	0.780525
chr01	6810000	664	0.761868
chr01	6820000	723	1.01816
chr01	6830000	820	1.11068
chr01	6840000	867	1.09496
chr01	6850000	881	1.1402
chr01	6860000	966	1.13111
chr01	6870000	942	1.00329
chr01	6880000	972	1.05677
chr01	6890000	975	1.18296
chr01	6900000	926	1.29365
chr01	6910000	859	1.38378
chr01	6920000	733	1.33777
chr01	6930000	731	1.38982
chr01	6940000	699	1.60103
chr01	6950000	799	1.60012
chr01	6960000	826	1.71807
chr01	6970000	875	1.89978
chr01	6980000	929	1.56938
chr01	6990000	999	1.38373
chr01	7000000	1095	1.39025
chr01	7010000	1173	1.35892
chr01	7020000	1297	1.26492
chr01	7030000	1277	1.11476
chr01	7040000	1268	0.847917
chr01	7050000	1149	0.741007
chr01	7060000	1034	0.468525
chr01	7070000	964	0.108903
chr01	7080000	820	0.113963
chr01	7090000	749	0.00227029
chr01	7100000	676	-0.246358
chr01	7110000	632	-0.385087
chr01	7120000	509	-0.558499
chr01	7130000	418	-0.694824
chr01	7140000	357	-0.58717
chr01	7150000	374	-0.189612
chr01	7160000	433	0.49646
chr01	7170000	427	0.643185
chr01	7180000	489	0.668742
chr01	7190000	500	0.808123
chr01	7200000	506	0.838932
chr01	7210000	510	0.882044
chr01	7220000	565	0.85516
chr01	7230000	627	0.851947
chr01	7240000	682	0.977882
chr01	7250000	660	0.796973
chr01	7260000	605	0.560416
chr01	7270000	652	0.526771
chr01	7280000	646	0.503073
chr01	7290000	563	0.49852
chr01	7300000	532	0.538667
chr01	7310000	498	0.542943
chr01	7320000	543	0.418784
chr01	7330000	485	0.354702
chr01	7340000	399	0.168791
chr01	7350000	416	0.234387
chr01	7360000	463	0.454369
chr01	7370000	461	0.93361
chr01	7380000	503	1.04146
chr01	7390000	585	1.01043
chr01	7400000	715	0.87758
chr01	7410000	722	0.87667
chr01	7420000	617	1.03055
chr01	7430000	613	1.0447
chr01	7440000	617	1.0335
chr01	7450000	578	1.05179
chr01	7460000	482	0.887508
chr01	7470000	373	0.575675
chr01	7480000	237	0.439877
chr01	7490000	155	0.243791
chr01	7500000	25	0.0957864
chr01	7510000	14	-0.37207
chr01	7520000	14	-0.37207
chr01	7530000	28	-1.1315
chr01	7540000	14	-1.69553
chr01	7550000	45	1.10728
chr01	7560000	45	1.10728
chr01	7570000	68	0.658546
chr01	7580000	68	0.658546
chr01	7590000	70	0.711721
chr01	7600000	81	0.4945
chr01	7610000	90	0.583792
chr01	7620000	117	0.728773
chr01	7630000	119	1.105
chr01	7640000	119	1.105
chr01	7650000	108	0.317541
chr01	7660000	110	0.322715
chr01	7670000	101	0.355203
chr01	7680000	135	0.366263
chr01	7690000	172	0.695354
chr01	7700000	166	0.865305
chr01	7710000	169	0.710324
chr01	7720000	146	0.564321
chr01	7730000	140	0.681306
chr01	7740000	140	0.681306
chr01	7750000	135	0.76542
chr01	7760000	191	0.33917
chr01	7770000	188	0.359974
chr01	7780000	284	-0.331208
chr01	7790000	441	-0.242945
chr01	7800000	436	-0.277856
chr01	7810000	424	-0.259145
chr01	7820000	439	-0.299783
chr01	7830000	434	-0.362309
chr01	7840000	468	-0.382553
chr01	7850000	453	-0.375138
chr01	7860000	395	-0.332423
chr01	7870000	391	-0.325504
chr01	7880000	274	0.00578439
chr01	7890000	92	-0.671483
chr01	7900000	92	-0.671483
chr01	7910000	92	-0.671483
chr01	7920000	73	-0.487817
chr01	7930000	68	-0.606633
chr01	7940000	34	-0.574706
chr01	7950000	34	-0.574706
chr01	7960000	34	-0.574706
chr01	7970000	27	-0.741207
chr01	7980000	23	-0.433096
chr01	7990000	68	-0.0177517
chr01	8000000	68	-0.0177517
chr01	8010000	99	-0.26316
chr01	8020000	102	-0.303495
chr01	8030000	102	-0.303495
chr01	8040000	102	-0.303495
chr01	8050000	102	-0.303495
chr01	8060000	102	-0.303495
chr01	8070000	102	-0.303495
chr01	8080000	93	-0.234016
chr01	8090000	34	-0.82372
chr01	8100000	34	-0.82372
chr01	8110000	3	-0.924551
chr01	8120000	0	nan
chr01	8130000	0	nan
chr01	8140000	0	nan
chr01	8150000	27	-0.429413
chr01	8160000	27	-0.429413
chr01	8170000	55	-0.470503
chr01	8180000	79	-0.334854
chr01	8190000	93	-0.172375
chr01	8200000	93	-0.172375
chr01	8210000	110	-0.139737
chr01	8220000	110	-0.139737
chr01	8230000	115	-0.090214
chr01	8240000	115	-0.090214
chr01	8250000	88	0.025294
chr01	8260000	88	0.025294
chr01	8270000	74	0.617934
chr01	8280000	106	0.411208
chr01	8290000	125	0.201872
chr01	8300000	129	0.262254
chr01	8310000	114	0.275246
chr01	8320000	133	0.256419
chr01	8330000	161	0.15472
chr01	8340000	161	0.15472
chr01	8350000	171	0.123016
chr01	8360000	171	0.123016
chr01	8370000	166	-0.0433535
chr01	8380000	110	-0.0386753
chr01	8390000	80	0.0893225
chr01	8400000	81	0.0493106
chr01	8410000	124	0.223205
chr01	8420000	123	0.267397
chr01	8430000	90	0.408774
chr01	8440000	90	0.408774
chr01	8450000	83	0.484361
chr01	8460000	129	0.646973
chr01	8470000	281	1.64117
chr01	8480000	444	1.91677
chr01	8490000	521	2.05806
chr01	8500000	587	2.1224
chr01	8510000	544	2.26453
chr01	8520000	545	2.25265
chr01	8530000	681	1.99639
chr01	8540000	795	1.82299
chr01	8550000	874	1.48891
chr01	8560000	954	1.05087
chr01	8570000	892	0.48277
chr01	8580000	791	-0.0368193
chr01	8590000	738	-0.319095
chr01	8600000	712	-0.629387
chr01	8610000	725	-0.631841
chr01	8620000	740	-0.615957
chr01	8630000	617	-0.914432
chr01	8640000	537	-1.09669
chr01	8650000	472	-0.961838
chr01	8660000	387	-0.483004
chr01	8670000	307	0.0423293
chr01	8680000	259	0.322798
chr01	8690000	262	0.250174
chr01	8700000	269	0.297201
chr01	8710000	308	0.114876
chr01	8720000	315	-0.0351127
chr01	8730000	336	-0.1662
chr01	8740000	370	-0.559318
chr01	8750000	425	-0.584655
chr01	8760000	442	-0.727056
chr01	8770000	470	-0.771679
chr01	8780000	498	-0.795945
chr01	8790000	541	-0.665145
chr01	8800000	498	-0.629468
chr01	8810000	528	-0.223044
chr01	8820000	487	-0.158398
chr01	8830000	453	-0.118298
chr01	8840000	385	0.0892424
chr01	8850000	408	0.199629
chr01	8860000	389	0.443836
chr01	8870000	342	0.591752
chr01	8880000	300	0.782126
chr01	8890000	227	0.870365
chr01	8900000	218	0.785186
chr01	8910000	134	0.165444
chr01	8920000	168	0.223422
chr01	8930000	209	0.315385
chr01	8940000	209	0.315385
chr01	8950000	114	0.640334
chr01	8960000	75	0.564722
chr01	8970000	75	0.564722
chr01	8980000	81	0.505517
chr01	8990000	96	0.301902
chr01	9000000	96	0.301902
chr01	9010000	103	0.430853
chr01	9020000	69	0.418351
chr01	9030000	30	0.343397
chr01	9040000	72	0.42885
chr01	9050000	89	0.616154
chr01	9060000	102	0.477844
